Who is hosting? Theme Camp or Your name,What shall we call your Event?,"Not a Theme Camp? Please give us a location (art installation, lakeside, effigy, temple.. etc)",Which day(s) will your event take place?,What time will your event start?,What time will your event end?,Select a theme of your event for Pocket Guide!,Description of your play-learn-workshop-event for the Pocket Guide!,"If Materials Are Used, Will You Provide Them?",present_in_forms_events_csv,present_in_forms_grotto_events_csv,present_in_dust_events_csv,prioritized_source
Garden Party,ReBirthDay Party,Garden Party,"Saturday, June 6",02:00:00 PM,05:00:00 PM,Party,"💖Happy ReBirthDay🌱\n\nIn support of Participation, Communal Effort, and Gifting, Garden Party is delighted to host a ReBirthDay Party for YOU! \n\nWe are providing a ReBirthDay cake, sweet treats, salty and savory snacks and presents! \n\nWe hope YOU are bringing:\n🎨 Face painting\n🤹 Jugglers & flow artists\n🎶 Musicians & wandering instrumentalists\n📖 Poetry readers & storytellers\n🎤 Singers & sing-a-long leaders\n🛠 Teachers of curious skills & hobbies\n😂 Stand-up comics & delightfully bad comedians\n🔮 Tarot readers, oracle readers & mystical beings\n\nThis is not about perfection.\nThis is about participation, play, connection, expression, and creating moments together.\n\nWhether you are wildly talented, charmingly awkward, deeply soulful, or charismatically chaotic — there is a place for you at the party.\n\nBring a gift.\nBring a skill.\nBring a ridiculous idea.\nBring your strange little spark.\nBring your magical presence.\n\nDon't forget to pick up your ReBirth Certificate before you leave!",Yes,TRUE,FALSE,TRUE,dust_events.csv
Green Room,Rockband Karaoke!,The Green Room,"Friday, June 5",07:30:00 PM,11:30:00 PM,Performance,"Remember Guitar Hero? Rockband Karaoke is like normal karaoke, except all the songs played through the Rockband video game! We have vocals, drums and two guitar controllers to sing+play through the best songs rockband has to offer. Come sign up with your squad, or come solo and we will build a band around you. The best way to experience being in a band without actually needing to know how to play an instrument, guaranteed",All materials and controllers provided,TRUE,FALSE,TRUE,dust_events.csv
,Sanctuary Volunteers Meet and Greet,Sanctuary,"Thursday, June 4",08:00:00 PM,09:00:00 PM,Other,A meet and greet for the Sanctuary volunteers. Get to know the leads and meet your fellow support staff. Have questions? This is a great time to get answers and see the space. Thank you for volunteering with Sanctuary!,,FALSE,FALSE,TRUE,dust_events.csv
Fuzzy Wuzzy,Saturday Morning Cartoons,Fuzzy Wuzzy,"Saturday, June 6",09:00:00 AM,11:00:00 AM,Party,"Come join us for Saturday morning cartoons on our very own fuzzy wuzzy network! We'll have cereal, coffee, and plenty of comfy spots on the rug to relive those classic early morning cartoons and fight over the remote.",Yes,TRUE,FALSE,TRUE,dust_events.csv
,Seafood boil brunch!,Bear Necessities,"Friday, June 5",12:00:00 PM,01:00:00 PM,Food,"We will be serving up a Louisiana style seafood boil! complete with crab legs, crawfish, shrimps, sausage, corn, and taters!! served in a kiddie pool with TONS of butter! (until we run out) bring your own mimosas if you want them! we only will be serving sweet tea at our bar!",,FALSE,FALSE,TRUE,dust_events.csv
Surreal Saloon,Self-Care Sunday,The Surreal Saloon,"Sunday, June 7",12:00:00 PM,01:00:00 PM,Event,"Need some rejuvenation after a wild night of burning? Come experience REGENESIS at the Surreal Saloon. We will have Interdimensional Moon Juice (a non-alcoholic electrolyte beverage) available to fuel your vessel. We will also have self care supplies available including face masks, lotions, nail care products, sensory toys and others. Come join us for a burn essential - Self Care Sunday.",Yes,TRUE,FALSE,TRUE,dust_events.csv
The French Quarter,Shibari rope tasting,The French Quarter,"Saturday, June 6",02:00:00 PM,06:00:00 PM,Workshop,"Come to the French Quarter to experience some rope decoration or suspension. This event is open to everybody, whether you have been tied before or you want to try for the first time, or you just like to watch.",yes,TRUE,FALSE,TRUE,dust_events.csv
,Sno Cones!,Banana Hammocks,"Thursday, June 4, Friday, June 5, Saturday, June 6",02:00:00 PM,04:00:00 PM,Event,Give your mouth the pleasure of some delicious sno cones! Bring a cup!,,FALSE,FALSE,TRUE,dust_events.csv
A Little Bit All Over the Place,Soup!!!! Soup!!!!,A Little Bit All Over The Place,"Thursday, June 4, Friday, June 5, Saturday, June 6, Sunday, June 7",08:00:00 PM,09:00:00 PM,Food,"Ever night you can join us for dinner, usually we make delicous soups and stews.  Dinner starts whenever food is done and ends whenever we run out.",No materials used,TRUE,FALSE,TRUE,dust_events.csv
Sensua,Synesthetic Ritual of Sensory Surrender,Sensua,"Thursday, June 4",04:00:00 PM,06:00:00 PM,Event,"Reset your senses. Join us for an immersive experience featuring four-hand massage, warm wax, and violet wand electricity. From the grounding rhythm of impact to the enveloping waves of light and sound, we invite you into a high-sensory environment created to stimulate and heighten presence.",Yes,TRUE,FALSE,TRUE,dust_events.csv
Helen Hachtel,Tarot: The Cult of Pawpaw Way,,"Wednesday, June 3, Thursday, June 4, Friday, June 5, Saturday, June 6, Sunday, June 7",03:33:00 PM,03:34:00 PM,Game,"README.txt: This is an ad hoc, a la carte, all day (NOT MORNINGS!) event. If you show up in the morning, or linger in personal camp not taking a hint that Lenny ain't feeling it, you will be asked by the tarot cards to vacate the premises. Otherwise...

Cult of Pawpaw has a custom made 78 card deck ready to tell you vague and interesting events you can shoehorn into your own life if you try hard enough. Cards that speculate on the information you tell us as we're reading the cards, making it sound insightful and wise. Featuring Major Arcana cards such as The Forager and Climate uh... Evolution, this nonsense deck holds information that doesn't relate to anything or anyone. And some pawpaw facts.

This event can only be started by standing near Lenny (the British one) and yelling ""MY PAST IS DEAD AND MY FUTURE IS UNWRITTEN, I BEG YE LENNY TO TELL ME WHAT I'M MISSIN'""",Bring something to sit on.,TRUE,FALSE,FALSE,forms/events.csv
Temple of the tea monks,Tea Service in The Grotto,Grotto - Open Community Space,"Friday, June 5",05:00:00 PM,07:00:00 PM,Food,This year the Tea Monks will providing a mobile tea service. come have tea with a tea monk in the beautiful Grotto. or find us pedaling around The Moon.,,FALSE,TRUE,TRUE,dust_events.csv
,Temple Art Burn 🔥,Temple,"Sunday, June 7",08:30:00 PM,10:30:00 PM,Event,Temple Art Burn begins shortly after dusk on Sunday night,,FALSE,FALSE,TRUE,dust_events.csv
