"id","title","description","type","location","startTime","endTime","time","shortDay","shortTime","start24","end24"
"3213","Sensual four-handed massage","Delight your senses. Massage, sound, colors, music, scent. ","Gathering/Party","Sensua (formerly Herhisensua)","2024-06-20T18:00:00.000","2024-06-20T20:00:00.000","Thursday 6pm-8pm (2hrs)","Thu, Jun 20","6pm (2hrs)","18:00","20:00"
"3295","Burner Orientation (Virgins and Veterans)","Virgins and Veterans alike are welcome to come talk and learn about the basics of burning and Burn culture! Come share your favorite tips and tricks, learn about the Principles, and get connected! May have some useful swag to share with participants!","Class/Workshop","That's Pretty Neat!","2024-06-20T18:00:00.000","2024-06-20T19:00:00.000","Thursday 6pm-7pm (1hrs)","Thu, Jun 20","6pm (1hrs)","18:00","19:00"
"3302","BATS!!","Deep dive into the magical world of BATS! Learn about the ecology and behavior of bats, followed by a real time bat listening excursion in the Grotto!","Class/Workshop","That's Pretty Neat!","2024-06-20T19:00:00.000","2024-06-20T20:00:00.000","Thursday 7pm-8pm (1hrs)","Thu, Jun 20","7pm (1hrs)","19:00","20:00"
"3310","3 Old Men Labyrinth Ritual (vespers)","Enter the labyrinth.  There are four entrances; you may enter at any of them. Follow the path to the center.  There are four exits; at three of them, an Old Man stands ready to offer you an experience. (The labyrinth is open for your meditation throughout the burn.)","Gathering/Party","3 Old Men","2024-06-20T19:55:00.000","2024-06-20T20:55:00.000","Thursday 7:55pm-8:55pm (1hrs)","Thu, Jun 20","7:55pm (1hrs)","19:55","20:55"
"3313","3 Old Men Labyrinth Ritual (sunset)","Enter the labyrinth.  There are four entrances; you may enter at any of them. Follow the path to the center.  There are four exits; at three of them, an Old Man stands ready to offer you an experience. (The labyrinth is open for your meditation throughout the burn.)","Gathering/Party","3 Old Men","2024-06-20T20:55:00.000","2024-06-20T21:55:00.000","Thursday 8:55pm-9:55pm (1hrs)","Thu, Jun 20","8:55pm (1hrs)","20:55","21:55"
"3274","GOTH KITTY Darkness","The Spectra-CAT-ular Gothic Dance Party Experience! This Thursday night, prepare to plunge into an electrifying fusion of gothic tunes, ethereal melodies, and haunting rhythms at our Gothic Kitty Dance Party hosted by CJP. As dusk falls, indulge your senses with KAT-tivating performances, themed cocktails, and tantalizing Kat treats. Dress in your most bewitching Kat Costume attire and venture into a realm of gothic splendor, where every shadow holds a secret. Join us beneath the moonlight for an unforgettable night of dance and enchantment. Don't miss the Gothic KITTY Darkness!","Gathering/Party","Just People","2024-06-20T21:00:00.000","2024-06-20T22:00:00.000","Thursday 9pm-10pm (1hrs)","Thu, Jun 20","9pm (1hrs)","21:00","22:00"
"3254","Lab City Nightz","Come get down with us Lab City style. Be prepared for lots of drum n bass, trap, grime, electro, and pretty much any and every genre you can think of to get your body moving! If you're looking for the hype - you've found it! ","Gathering/Party","Dabs@LabCity","2024-06-20T22:00:00.000","2024-06-21T03:00:00.000","Thursday 10pm-3am (5hrs)","Thu, Jun 20","10pm (5hrs)","22:00","03:00"
"3271","Goth & Industrial Dance Night!","Throw on your blackest outfit, grab your stompiest boots, and dance with Camp Just People to a variety of industrial, darkwave, futurepop, and other genres that’ll make your gothic heart happy!","Gathering/Party","Just People","2024-06-20T22:00:00.000","2024-06-20T23:00:00.000","Thursday 10pm-11pm (1hrs)","Thu, Jun 20","10pm (1hrs)","22:00","23:00"
"3288","DJ Fear Less Funky Dance Party Thursday 10pm","DJ Fear Less wants you to get down to her funky tunes!  Get high on bass & hooked on horns when you swing by Camp Pretty Lights on Thursday night to get your groove on!  ","Gathering/Party","Camp Pretty Lights","2024-06-20T22:00:00.000","2024-06-20T23:59:00.000","Thursday 10pm-11:59pm (2hrs)","Thu, Jun 20","10pm (2hrs)","22:00","23:59"
"3268","Grilled Cheese and Soup Communion","Communion is served at the Church of Cheesus Crust lounge. Experience a taste of divine comfort and unity with fresh grilled cheese and soul-warming soup.","Food & Drink","The Church of Cheesus Crust","2024-06-20T23:00:00.000","2024-06-21T01:00:00.000","Thursday 11pm-1am (2hrs)","Thu, Jun 20","11pm (2hrs)","23:00","01:00"
