"id","title","description","type","location","startTime","endTime","time","shortDay","shortTime","start24","end24"
"23010","Mooney Putt Portals","Mooney Putt Portals\nInterdimensional mini golf experiment\nHow it works\n•	There are 9 portals—visit in any order.\n•	Use the map to hunt them down.\n•	Keep score—weird trophies and shiny prizes lurk.\n•	Claim a sticker. Adorn your self or your stuff.\n•	Putters and balls live at each hole—please leave them in their native realm.\n•	Bring your own freaky putter for a 3 stroke bonus.\n•	Share the magic: don’t whack humans.\n•	Putt, giggle, repeat.\nStep through a portal and play a hole!","Game","Swag n Dab","2026-06-06T09:00:00.000","2026-06-07T00:00:00.000","Saturday 9am-Midnight (15hrs)","Sat, Jun 6","9am (15hrs)","09:00","00:00"
"23007","Saturday Morning Cartoons","Come join us for Saturday morning cartoons on our very own fuzzy wuzzy network! We'll have cereal, coffee, and plenty of comfy spots on the rug to relive those classic early morning cartoons and fight over the remote.","Gathering/Party","Fuzzy Wuzzy","2026-06-06T09:00:00","2026-06-06T11:00:00","Saturday 9am-11am (2hrs)","Sat, Jun 6","9am (2hrs)","09:00","11:00"
"23009","Morning Coffee & Tea","🛸🐮 Conspiracy Coffee ☕ :\nGive a Conspiracy for every Coffee ☕, a Theory for every Tea 🫖, but the Marie Antoinette cakes are Free 🧁.","Food","Abiding Grove","2026-06-06T09:30:00.000","2026-06-06T12:30:00.000","Saturday 9:30am-12:30pm (3hrs)","Sat, Jun 6","9:30am (3hrs)","09:30","12:30"
"20876","Breakfast delights","More spontaneously times than dinner, come join us for breakfast. Food will be done a few hours after Ithr cook wakes up until we run out of food.","Food & Drink","A Little Bit All Over The Place","2026-06-06T10:00:00","2026-06-06T11:00:00","Saturday 10am-11am (1hr)","Sat, Jun 6","10am (1hr)","10:00","11:00"
"23092","Ice Sales 🧊","7lb bags of ice will be available for purchase at $5 Thursday through Sunday from 10–7pm adjacent to the quartermaster. Price and bag size subject to change based on availability. Cash, tap to pay, or Venmo, are accepted.","Miscellaneous","DPW (Dept of Public Works)","2026-06-06T10:00:00","2026-06-06T14:00:00","Saturday 10am-2pm (4hrs)","Sat, Jun 6","10am (4hrs)","10:00","14:00"
"23011","Moment of Peace Sober Sesh Burner Meetup","A chance for all burners who are burning clean, in Recovery, Sober, or even just sober-curious, to meet like-minded burners and check-in with each other. It's a great way to grow your network of support for whatever your path may be. ALL ARE WELCOME!!","Self Care","Grotto - Open Community Space","2026-06-06T11:00:00.000","2026-06-06T12:00:00.000","Saturday 11am-Noon (1hr)","Sat, Jun 6","11am (1hr)","11:00","12:00"
"23070","Elven Elixirs","Do you party too hard? Or just need some rejuvenation? Your resident elven herbalist has your back. I've got TCM teas made to bring you back to life and sweeter treats like rose falooda to lift your spirits. 11am til we run out. Come by each day for different elixirs. Water station always available.","Food & Drink","Reconnect Camp","2026-06-06T11:00:00","2026-06-06T15:00:00","Saturday 11am-3pm (4hrs)","Sat, Jun 6","11am (4hrs)","11:00","15:00"
"23001","The Evolving Edge: Kink, Connection, and the Long-Term Partnership","Midday Lightly Guided Conversation\n\nWhen you’ve been together for years, and playing together for just as long, the conversation changes. It’s no longer about discovery in the beginner sense; it’s about evolution.\n\nHow do our kinks shift as our bodies change? How do we stay open to new energy when we share domestic life? How do we mediate shared history? \n\nJoin us for a relaxed, lightly facilitated midday honest conversation with other long-term partners.\n\nWe hope to go beyond the basics and discuss the nuances of a seasoned kink life:\n•The Integration Phase: Moving past scene night and looking at how power, play, and intimacy weave into the fabric of a long-term life.\n•The Changing Body: Navigating physical shifts, energy levels, and new boundaries with grace and creativity.\n•Deepening the Script: Breaking out of autopilot play and finding new edges within a familiar partnership.\n•Emotional Sustainability: Managing the Aftercare of a decade-long relationship.\n\nThis is a peer-level space for couples who are already active and looking for a thoughtful,  environment to talk shop. We provide the prompts and the structure; you provide the lived experience.\n\nExpect a friendly, high-trust atmosphere where the goal isn't to fix anything, but to honor where you’ve been and explore where you’re going next.","Class/Workshop","Sensua","2026-06-06T11:00:00","2026-06-06T13:00:00","Saturday 11am-1pm (2hrs)","Sat, Jun 6","11am (2hrs)","11:00","13:00"
"23013","MIMOSAS & METAL IN THE MORNING","You're invited! Join us Saturday at 11:00 a.m. as Camp Just People hosts its signature morning event — Mimosas & Metal in the Morning!\n\nCome kick back with a perfectly crafted mimosa while our resident DJ, Jazzy Bill D Funk, takes you through an electrifying hour of the finest, most unapologetically loud metal the world has to offer.\n\nExpect a refreshing drink, an unforgettable setlist, and zero chill — except for your mimosa.\n\nBlack tie and an arrogant attitude are entirely optional.","Music","Just People","2026-06-06T11:00:00.000","2026-06-06T12:00:00.000","Saturday 11am-Noon (1hr)","Sat, Jun 6","11am (1hr)","11:00","12:00"
"23050","Misting station and Igloo!","will have misters for you to walk through to cool off! We also have an air-conditioned igloo you can go in to hide from the heat and sun!","Self Care","Bear Necessities","2026-06-06T12:00:00","2026-06-06T17:00:00","Saturday Noon-5pm (5hrs)","Sat, Jun 6","Noon (5hrs)","12:00","17:00"
